datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,bike_availability,peak_hour_flag,temp_variation,humidity_index,wind_factor,user_satisfaction,ride_duration,maintenance_flag,special_event_flag,traffic_level,energy_consumption,pollution_index,seasonal_effect,daily_peak_usage,weekend_usage_flag
01-01-2011 12:00,1,0,0,1,17.22,21.21,77,19.0012,29,55,84,35,0,-4.574753664809074,81.6941998670021,0.7436902346652041,3.421085778701153,46,0,1,3.5608057265620365,1.1457219611821254,217.42111727160014,-0.8797822057163747,47,1
01-01-2011 13:00,1,0,0,2,18.86,22.725,72,19.9995,47,47,94,39,0,-0.8025302508179415,79.67360388912226,10.490093794411578,3.92110601167181,34,0,0,6.995549521356347,1.6417364237591712,244.6233510851018,0.8334561569810037,83,0
01-01-2011 14:00,1,0,0,2,18.86,22.725,72,19.0012,35,71,106,23,0,-0.38951032781164496,44.869313696346794,16.28054222605143,4.432212481398235,40,0,1,5.935343064832866,2.2363954664563352,176.0311517058695,-0.0981589390852502,59,0
01-01-2011 15:00,1,0,0,2,18.04,21.97,77,19.9995,40,70,110,2,0,2.9107214347811237,10.971116886006483,6.882289371571925,3.181930040563748,29,0,0,9.675355506815261,2.694704412303468,197.03252301945034,0.31418705092222,89,0
01-01-2011 16:00,1,0,0,2,17.22,21.21,82,19.9995,41,52,93,21,0,-0.3208436805445576,51.61231573169517,17.94074755833101,4.789297446111999,8,0,0,1.3873956660645637,2.589931336259977,20.627994887281965,-0.25356474555942143,91,0
01-01-2011 17:00,1,0,0,2,18.04,21.97,82,19.0012,15,52,67,1,0,0.6753578645632015,39.48032000046662,17.737593569422607,3.7769506021538533,22,0,0,4.735763040802398,4.064015252729286,168.1260379186865,-0.46648356611546027,23,1
01-01-2011 18:00,1,0,0,3,17.22,21.21,88,16.9979,9,26,35,23,0,2.912042535880711,51.854743104401265,2.834090415675077,2.887928340969316,49,1,1,6.938496743131514,1.1021092463158222,88.96743646625089,-0.8112293420353158,26,1
01-01-2011 19:00,1,0,0,3,17.22,21.21,88,16.9979,6,31,37,43,0,0.597584929292907,43.98952020255826,9.87261540259408,2.6860724948936396,58,0,1,3.687839393601938,2.1593938424879506,170.36209622366275,-0.05691628115111125,54,1
01-01-2011 20:00,1,0,0,2,16.4,20.455,87,16.9979,11,25,36,29,0,-1.4170058648041763,56.851441339088915,0.5133496548259853,4.000667182245692,37,1,0,9.23193397479389,4.756945625207271,181.25717103958522,-0.16224590042788511,93,1
01-01-2011 21:00,1,0,0,2,16.4,20.455,87,12.998,3,31,34,37,0,-4.141577223794178,72.71297185132939,5.637192155570538,3.5218768705194057,24,1,1,8.525590216611223,3.9737394004474784,21.992738548394165,0.14464212647403274,94,0
01-01-2011 22:00,1,0,0,2,16.4,20.455,94,15.0013,11,17,28,1,0,2.2991562951257762,77.48599036508585,16.23745676039483,4.269773473754597,46,0,1,8.72926553591475,2.425942091523696,131.14619431892947,-0.19625121940020884,71,1
01-01-2011 23:00,1,0,0,2,18.86,22.725,88,19.9995,15,24,39,20,0,3.711381501621551,64.89821982378442,19.502812113596367,4.12394505056788,25,0,1,6.090435408579532,3.11551257291228,254.10088043356555,-0.10461685371010043,18,1
02-01-2011 00:00,1,0,0,2,18.86,22.725,88,19.9995,4,13,17,32,1,4.70064537020164,19.89406150463927,18.266465128153996,3.0968107830221876,5,0,0,4.71683391682399,2.615982241184035,36.3015530875488,0.5764150713152554,16,0
02-01-2011 01:00,1,0,0,2,18.04,21.97,94,16.9979,1,16,17,11,0,4.2659988077156825,39.712302560511915,0.8516073960239812,4.782807161179842,38,0,0,3.6790640869012026,2.227433649666032,224.75700293579158,-0.7462331701253926,79,1
02-01-2011 02:00,1,0,0,2,17.22,21.21,100,19.0012,1,8,9,21,0,2.9741790883324875,7.122402873572165,18.534610502368004,3.8170290687752693,13,1,0,1.196950459751308,1.0975446021834157,165.5759456606119,-0.18452559553689007,14,0
02-01-2011 03:00,1,0,0,2,18.86,22.725,94,12.998,2,4,6,43,0,1.4347193224572816,45.16737280751715,16.45296353689081,1.8033583508845266,5,0,0,9.482365690426256,1.2528222996181557,184.26666608690624,-0.7208709656201551,87,0
02-01-2011 04:00,1,0,0,2,18.86,22.725,94,12.998,2,1,3,24,0,2.8146014583063836,97.03394127248511,17.354050335014698,3.4739486943862827,51,0,0,2.636259914318239,1.7968986437876775,6.537673420780665,0.8746280748867898,38,0
02-01-2011 06:00,1,0,0,3,17.22,21.21,77,19.9995,0,2,2,48,0,-0.6791628714793205,64.17307075910107,18.29653550571374,1.8072522235040083,31,1,1,8.020792146288793,2.1434030823102628,259.1420793971072,0.6577822831436066,13,0
02-01-2011 07:00,1,0,0,2,16.4,20.455,76,12.998,0,1,1,26,0,0.9477621479083496,15.46125146634969,9.763598350945689,3.235397180798567,19,0,0,0.11899976584023753,1.632491198982831,270.8020988493708,0.693944070799424,21,1
02-01-2011 08:00,1,0,0,3,16.4,20.455,71,15.0013,0,8,8,41,1,-1.5130019086081479,26.85776597754326,4.224365875208706,4.159737809175127,28,0,0,3.8149773443665778,3.0980316922685147,187.0669031244503,-0.7257679611228292,19,0
02-01-2011 09:00,1,0,0,2,15.58,19.695,76,15.0013,1,19,20,27,1,-1.7329078501961726,6.4573646302546805,0.42048173745833806,4.250021369141491,29,0,0,5.711062360033487,3.191564942279813,296.4310237863903,0.7506607078006597,59,1
02-01-2011 10:00,1,0,0,2,14.76,17.425,81,15.0013,7,46,53,15,1,2.566917732760338,18.241389015196596,0.4709654142730013,3.603300072735678,38,1,0,3.143795875613644,0.706265453412886,90.59584878314276,-0.7136146418636402,13,0
02-01-2011 11:00,1,0,0,2,14.76,16.665,71,16.9979,16,54,70,14,0,-0.46067217696438334,48.78416434777778,12.850228456481464,4.13322468784146,48,0,0,1.9389616127158926,3.4234444454570347,62.64118701532983,-0.06803658374219324,10,0
02-01-2011 12:00,1,0,0,2,14.76,16.665,66,19.9995,20,73,93,46,0,-2.878387370689708,34.48563814286327,6.745601786077591,2.888942584764577,54,1,0,0.7145044990061888,2.6040568867811347,44.05152499243291,-0.7998886985560334,57,0
02-01-2011 13:00,1,0,0,2,14.76,17.425,66,8.9981,11,64,75,43,0,-2.9806183805813413,20.396231730876668,9.917933046593713,3.2026233802894497,59,0,0,9.891085724980394,2.961632788553853,54.209310692528156,0.860232167674361,47,1
02-01-2011 14:00,1,0,0,3,14.76,17.425,76,12.998,4,55,59,2,1,3.591723615699337,14.659841356285607,2.6267035415213558,4.518427917768937,14,0,1,8.86409785680069,4.519767471683457,10.282664859722257,0.9675186741337154,82,0
02-01-2011 15:00,1,0,0,3,13.94,16.665,81,11.0014,19,55,74,36,0,1.7776049436267112,65.6071116977206,19.51026732369529,2.972322601286525,34,1,1,3.1235245656875854,1.325016088175301,211.0290879258414,-0.15345626260825562,30,1
02-01-2011 16:00,1,0,0,3,13.94,16.665,71,11.0014,9,67,76,6,0,0.4604607335811579,55.81023768728512,2.5988599917946154,2.4037163545604163,49,0,1,0.1579367687310107,2.3200219581544363,231.95447354797528,0.8986339529442791,34,1
02-01-2011 17:00,1,0,0,1,13.94,16.665,57,12.998,7,58,65,20,1,-0.9906126400364057,84.26403122148679,8.89612687223017,4.187970277700533,45,0,1,5.405758191154351,2.6832001140451034,3.522210751864452,-0.8143298084722679,22,1
02-01-2011 18:00,1,0,0,2,14.76,16.665,46,22.0028,10,43,53,8,1,-0.6918260921287427,18.325288572775346,8.867070662110528,1.2018947908430673,29,0,1,3.2148987957923083,3.1587467252566714,70.10973877165601,0.8213057927652285,65,1
02-01-2011 19:00,1,0,0,1,13.12,14.395,42,30.0026,1,29,30,38,0,-4.425648058050562,84.79854599282461,0.17277112625211144,4.8334280693815295,7,1,1,1.1575198370149076,3.549595204928093,65.43928943450724,-0.3112721220936543,95,0
02-01-2011 20:00,1,0,0,1,12.3,13.635,39,23.9994,5,17,22,17,0,-0.45089855132157197,57.79111725598561,13.355959478538997,2.360260764642635,59,1,0,7.9030701596586965,1.0817386824661417,190.19203852921115,0.3354863187396142,33,0
02-01-2011 21:00,1,0,0,1,10.66,11.365,44,22.0028,11,20,31,3,0,2.954549106220819,26.622319397971562,10.764211453483917,3.5184646400989488,26,0,1,3.3817403820639735,3.870409227322243,236.3570449957281,-0.28447510612690174,45,1
02-01-2011 22:00,1,0,0,1,9.84,10.605,44,19.9995,0,9,9,24,0,-1.1201351990467767,27.35531405685112,9.949923774610237,3.741821009105852,44,0,0,9.72851794927161,1.4946746687519605,215.56176173987495,0.1978300698223039,59,1
02-01-2011 23:00,1,0,0,1,9.02,11.365,47,11.0014,0,8,8,13,1,-1.164187474567421,39.03803901438524,16.361696767192818,1.5483126699932832,50,1,1,7.061826284813188,4.780346541815025,228.60662077962027,-0.5414876214195554,45,1
03-01-2011 00:00,1,0,1,1,9.02,9.85,44,23.9994,0,5,5,49,0,-4.842834169807122,46.012721666679425,4.8227437349668145,4.29144098703766,28,0,0,8.397199347968403,0.9755487129457552,213.79800051021672,0.2500587245269641,20,1
03-01-2011 01:00,1,0,1,1,8.2,8.335,44,27.9993,0,2,2,8,0,-0.42164737441931344,8.250508473688267,17.221936195695033,3.288451834770085,31,1,1,6.2178224946482965,4.940217711791035,228.13591323771877,0.018117483426380865,38,0
03-01-2011 04:00,1,0,1,1,6.56,6.82,47,26.0027,0,1,1,25,1,-4.746623470520332,84.1999165666328,17.295573260330993,2.311714470148267,30,0,1,5.617037172249079,4.675929723620927,168.5649669437958,-0.2754000429616763,19,0
03-01-2011 05:00,1,0,1,1,6.56,6.82,47,19.0012,0,3,3,1,0,0.703494280087611,12.154106932419406,16.537246318332024,4.4027434892990405,20,1,0,4.280353110729367,4.501397239776269,163.79628080648817,-0.12161758445616955,47,1
03-01-2011 06:00,1,0,1,1,5.74,5.305,50,26.0027,0,30,30,19,0,0.06783381582314085,48.345984302988164,6.827955500786507,3.5003215131079903,42,0,1,0.8311642669551422,0.6364423120478513,246.68937534137868,-0.0014310456785002756,90,1
03-01-2011 07:00,1,0,1,1,5.74,6.82,50,12.998,1,63,64,27,1,3.400084989239989,38.29682331909218,3.251148796913046,4.143112680006915,45,1,1,7.374049408607416,1.4065726431653336,183.6596001771739,-0.16803966607423093,45,0
03-01-2011 08:00,1,0,1,1,5.74,6.06,50,19.0012,1,153,154,46,1,0.8178061092572122,51.22870843119428,9.503542187597692,4.969239106630676,57,0,0,3.3984145310481084,3.055118062066603,43.768685781680475,-0.8604546780752409,85,0
03-01-2011 09:00,1,0,1,1,6.56,6.82,43,26.0027,7,81,88,6,0,-1.7657264467778475,88.7482517068172,5.196821166527352,1.5211056346353358,8,0,1,1.9668238837480179,3.745676014677815,259.7675462620831,0.5749075947411459,29,0
03-01-2011 10:00,1,0,1,1,7.38,8.335,43,16.9979,11,33,44,43,1,0.16231009416914155,98.90883398561063,1.0436309051947656,3.9983859351861484,27,1,0,1.1441332914804214,3.806424708122389,144.53420393625925,0.3286339531655129,43,1
03-01-2011 11:00,1,0,1,1,8.2,9.09,40,22.0028,10,41,51,7,1,1.997063557499188,2.027137268275836,5.589400240788606,4.030684036472887,23,1,0,0.7834378699114897,0.7076241613535965,75.62851148551596,0.36229624532277427,69,0
03-01-2011 12:00,1,0,1,1,9.02,10.605,35,19.9995,13,48,61,46,0,-4.060362045896172,39.323943172519414,9.38256623354575,4.4987586562942505,19,0,1,4.7541733634666405,3.599280023003738,112.66901704949346,-0.8970525356186088,45,0
03-01-2011 13:00,1,0,1,1,9.84,10.605,35,19.0012,8,53,61,34,1,1.2107408847043377,81.76105309172435,2.2547108694793105,2.6322618100189077,35,0,1,8.369853647677143,2.733592797765359,170.94668677435928,0.5456272987761,99,1
03-01-2011 14:00,1,0,1,1,10.66,12.12,30,19.0012,11,66,77,13,0,4.166262819779792,32.660288026197705,18.886674677543454,4.478605256630235,28,1,1,1.2871234727210734,1.911172257231382,118.13526411068986,0.5518505958587996,53,1
03-01-2011 15:00,1,0,1,1,10.66,12.12,30,16.9979,14,58,72,16,0,-2.0086970436875564,64.90361759185217,13.122023623823864,3.5595329509296314,15,0,1,5.147359771018955,3.6027665634239234,177.69667698912423,0.5892292738341223,68,0
03-01-2011 16:00,1,0,1,1,10.66,12.12,30,16.9979,9,67,76,35,0,1.2662509487641227,99.22592037664604,2.7268146236676682,1.2750886892955893,57,0,0,3.7910660499394333,1.6282131378159737,168.29447077749248,0.22929372500154832,56,0
03-01-2011 17:00,1,0,1,1,9.84,11.365,30,15.0013,11,146,157,49,0,3.2132945035024356,64.67712888159438,16.241284015793,1.1260670012137477,14,0,1,5.39917807337556,3.4026077391740026,165.5777719482462,0.028969805992203224,29,1
03-01-2011 18:00,1,0,1,1,9.84,12.88,32,7.0015,9,148,157,39,1,0.11806397438624128,11.119137762326892,18.5617659162825,2.9259416552308215,12,1,1,0.5803555774146485,3.254713605618627,169.68839221763486,0.745448390683455,47,0
03-01-2011 19:00,1,0,1,1,8.2,12.88,47,0.0,8,102,110,3,0,2.1797953402038486,84.29319569539857,5.255681423271166,4.143328288135791,7,1,1,5.351352339618698,3.160060791919995,95.753351098594,0.16490926816424634,20,1
03-01-2011 20:00,1,0,1,1,8.2,11.365,47,7.0015,3,49,52,1,0,-1.889896615107399,96.66574372925297,2.86505514888056,2.5369261025074956,23,1,1,5.499660013140616,2.89793703696409,258.5833719380384,-0.8143675401773682,77,0
03-01-2011 21:00,1,0,1,1,7.38,9.85,64,8.9981,3,49,52,5,0,-1.9394154707485525,71.25084212988676,6.4495100608512335,4.407328607786299,8,1,1,8.700835312745292,1.726501699315907,159.68561548391273,-0.30303138213279457,90,1
03-01-2011 22:00,1,0,1,1,5.74,7.575,69,8.9981,0,20,20,41,0,1.6758402179856073,41.906809984307024,16.644975992570522,2.9684880656783847,33,1,0,1.995051568797327,1.4047297103150629,13.726397872143592,0.42631552286956453,76,0
03-01-2011 23:00,1,0,1,1,7.38,10.605,55,7.0015,1,11,12,3,1,2.054088739734839,94.84001753454244,3.5018778569919506,1.1051538939183958,49,0,0,8.147411762591064,2.2242340667295775,88.35764715472685,-0.17784258023276345,49,1
04-01-2011 00:00,1,0,1,1,6.56,9.09,55,7.0015,0,5,5,28,1,4.370096995121438,96.85720150491983,15.586931736240683,4.894660240227708,45,0,1,7.514189073730675,4.868775344852652,215.12237212826378,0.6005339950754311,43,1
04-01-2011 01:00,1,0,1,1,6.56,9.09,59,7.0015,0,2,2,17,1,-2.7516142528202545,93.51167434991574,14.325265235864233,2.958447058410597,25,0,0,9.144613426541943,4.043886665882434,199.67452513644645,-0.0654989987384107,33,0
04-01-2011 02:00,1,0,1,1,5.74,7.575,63,8.9981,0,1,1,25,0,-0.31782403912030865,41.181900231008065,13.027334151120257,3.6005439080073547,58,1,1,9.129328409779557,2.229643203537512,58.402193514744205,-0.22941602001868588,88,0
04-01-2011 04:00,1,0,1,1,5.74,9.09,63,6.0032,0,2,2,43,1,-2.494865268361086,78.9707673968847,8.666349986972477,1.797156862522228,56,0,0,7.661399916282177,3.5765635508284133,299.46961253377776,-0.30128664780947734,66,1
04-01-2011 05:00,1,0,1,1,4.92,7.575,68,7.0015,0,4,4,33,1,-4.199078391197546,65.417935903406,7.335405658018996,2.189322661610693,49,1,1,9.252547270197011,1.7635082735848497,187.7756980080933,-0.370086234698789,75,0
04-01-2011 06:00,1,0,1,1,4.92,7.575,74,7.0015,0,36,36,9,0,-0.967694720525123,17.970666588558682,1.7051595084397775,2.937137987414865,13,0,1,2.5895450213561197,1.4660893082765356,98.13485229821381,-0.04133030560074458,39,1
04-01-2011 07:00,1,0,1,1,4.92,7.575,74,8.9981,2,92,94,35,1,-1.2591925271179671,53.5514901677154,7.147115705231442,4.424756811380359,56,0,0,1.5562957495601593,3.125736100429078,117.78021195498872,0.19845148743211305,91,0
04-01-2011 08:00,1,0,1,1,5.74,7.575,69,11.0014,2,177,179,13,0,-2.2956588001781206,74.76910091286369,12.036836123783326,1.407816899972783,55,0,0,2.803712376228508,1.6527289954314446,275.88738070718637,0.8495903751123595,62,1
04-01-2011 09:00,1,0,1,1,6.56,7.575,64,15.0013,2,98,100,30,1,-2.0300510886058354,89.59122759653094,17.964184322923423,4.12135877640207,52,1,0,8.39869942963794,2.9591937086183924,129.33727375310156,0.46355227856236403,48,1
04-01-2011 10:00,1,0,1,2,6.56,6.82,69,22.0028,5,37,42,47,1,-1.3958819364872186,86.25983704065536,16.662490763196654,3.317403144942559,22,1,0,3.1352367252600577,0.8611181748440437,72.32879171617057,-0.5771031142171237,48,0
04-01-2011 11:00,1,0,1,1,9.02,10.605,51,19.9995,7,50,57,14,1,4.888376327800936,15.46585001854821,0.6443146048010129,2.9986610966976115,23,0,1,8.186491554404796,4.257238399256333,103.10573587484745,-0.09226597902677813,82,0
04-01-2011 12:00,1,0,1,1,9.02,11.365,51,11.0014,12,66,78,7,1,2.8295776596728004,48.803324648521084,2.7772579031899425,4.506351636017245,21,1,0,3.7197325536933423,2.218799919766579,159.05372578325418,-0.38680785198063816,62,0
04-01-2011 13:00,1,0,1,1,9.84,11.365,56,12.998,18,79,97,13,0,-4.2859879891309305,47.8268629460785,16.969759562095867,1.472480532528703,48,1,0,7.9950460141831545,0.5698491818548388,47.31017627330581,-0.5143295817864311,82,1
04-01-2011 14:00,1,0,1,1,10.66,12.88,52,15.0013,9,54,63,22,0,3.7241317648670176,89.87370618979223,18.786367300984455,4.963016575622932,47,0,1,8.471742444089362,4.812197843921914,15.293453443158889,0.3165008332368413,65,1
04-01-2011 15:00,1,0,1,1,11.48,13.635,52,16.9979,17,48,65,39,1,1.3330332639867137,0.19373091368668494,1.116176891464813,4.418533770324679,28,1,0,6.778724839157774,2.9539687528296388,121.0961498572993,-0.7746394696970473,33,1
04-01-2011 16:00,1,0,1,1,12.3,14.395,49,16.9979,15,68,83,20,0,3.905937601219092,73.87135376269276,14.025041282006136,2.3029477205239752,53,1,0,9.795782002533478,4.621443353107847,268.87589727781676,-0.9480342910953725,57,1
04-01-2011 17:00,1,0,1,1,11.48,13.635,48,15.0013,10,202,212,15,1,-1.5829031286977182,61.86415165462653,7.314662289284534,2.8063058143356003,10,0,1,7.303198900003603,1.3456148847590943,278.1310866329162,-0.17285629665897373,62,1
04-01-2011 18:00,1,0,1,1,10.66,12.88,48,12.998,3,179,182,44,1,-0.35481135188281243,92.15714731765662,7.2858049495033566,1.1000132388492676,35,1,0,2.451379055291988,1.8510955501472142,249.6958331814953,-0.7252507288833661,46,0
04-01-2011 19:00,1,0,1,1,9.84,12.88,48,7.0015,2,110,112,17,1,3.962270573081083,45.6917350331738,12.85338385051443,3.1104199873302876,31,0,0,9.844118491837389,2.224286251025343,51.12492331100125,0.02182063362578579,93,1
04-01-2011 20:00,1,0,1,1,9.84,12.88,48,7.0015,1,53,54,46,1,-2.274268640863185,65.76722498755007,16.2043217583342,3.190878285286415,51,0,1,6.838122894555514,1.3791945737426594,14.634271792113063,0.10010272253327601,53,0
04-01-2011 21:00,1,0,1,1,9.02,13.635,64,0.0,0,48,48,23,1,4.155008762454154,97.27470304215423,5.496751017607274,4.706302925900905,38,1,1,4.357388425227464,2.5429320394373867,158.36519903691288,-0.668472252265047,46,0
04-01-2011 22:00,1,0,1,1,9.02,12.88,64,6.0032,1,34,35,25,1,3.284997121442693,74.39037629159088,14.10708688134422,2.551702701494041,50,0,1,4.919285008149439,1.766466872919535,203.0411997840034,0.3933450918700958,61,0
04-01-2011 23:00,1,0,1,1,8.2,11.365,69,6.0032,2,9,11,24,0,4.805579409092934,6.738397412976738,12.717526175487034,3.282471814299894,31,0,1,7.661224744112297,1.0644088341528226,196.78083445373736,-0.7719793552241614,96,0
05-01-2011 00:00,1,0,1,1,8.2,12.88,64,0.0,0,6,6,44,0,-1.757424129836369,16.753355097267452,10.346413232084767,3.962469377860287,31,0,0,7.532380663522064,0.8666834224049565,81.16897053964556,0.2349092643758519,20,0
05-01-2011 01:00,1,0,1,1,6.56,9.85,74,6.0032,0,6,6,40,1,-2.642468199952166,82.1451102959748,12.048514976308407,3.4340657524853255,39,1,0,8.411057628104194,1.6611312946075225,101.44164238139138,0.29079406318246925,63,1
05-01-2011 02:00,1,0,1,1,6.56,9.85,74,6.0032,0,2,2,28,0,-1.6913310295427184,33.47955409736589,0.3610676581605099,1.624695513504141,16,0,1,2.407174509415518,4.915533230302773,290.27723535873923,0.6188176283621825,64,1
05-01-2011 04:00,1,0,1,1,9.84,11.365,48,15.0013,0,2,2,14,1,4.546497959887352,70.59181105982749,0.08131859895328164,1.687261039703027,33,0,1,9.480648927404438,1.6532072684920882,128.02469792867151,0.7737204554370878,84,1
05-01-2011 05:00,1,0,1,1,9.02,11.365,47,11.0014,0,3,3,44,0,-1.6692670394705846,69.9823733343828,11.008771333847038,1.5533580072276294,10,1,0,2.6150981531612913,4.349546605856943,194.4746086931886,0.3404683251664806,52,0
05-01-2011 06:00,1,0,1,1,8.2,9.85,47,15.0013,0,33,33,0,0,0.6521181995723815,99.37005233882049,10.482169295334886,1.8709158462012936,59,0,0,4.80482934391852,2.5658961888861955,150.2000736369831,0.24147896315039308,84,1
05-01-2011 07:00,1,0,1,1,7.38,9.09,43,12.998,1,87,88,24,0,-0.9632071741348582,46.987272363634084,1.4267041065471076,2.313319093856495,41,0,0,2.1137270263325347,1.6356089598238703,256.4333515465829,0.35466262229283574,57,0
05-01-2011 08:00,1,0,1,1,8.2,9.09,40,19.9995,3,192,195,6,1,-1.0377985551821913,73.78323605059232,9.840526532461292,3.9586695965042162,11,1,1,4.342875237741977,4.202779145204682,251.3065556266562,0.05482463591526621,57,1
05-01-2011 09:00,1,0,1,1,9.02,9.85,37,22.0028,6,109,115,8,0,-3.066213901209448,4.875287728610234,15.150575500542057,1.243703240303787,10,0,1,6.498865461339069,3.8970714133346394,194.6761432039788,0.23377257268564589,59,1
05-01-2011 10:00,1,0,1,1,9.02,9.85,37,22.0028,4,53,57,23,1,0.3707954079759004,46.25910206930885,10.824048880302124,4.281779840080198,57,1,1,4.918434698185113,3.2784425180402184,279.51585787402576,0.8119274853291156,98,1
05-01-2011 11:00,1,0,1,1,10.66,11.365,33,22.0028,12,34,46,0,1,3.494042549672068,18.668154481713096,10.35228581515883,2.0498496410002995,23,0,1,2.4851843121255177,1.7892709173363703,62.32205641864893,0.3887118865066803,92,0
05-01-2011 12:00,1,0,1,1,10.66,11.365,33,22.0028,5,74,79,43,1,-4.505149864461292,84.05715517131769,14.358169078515422,3.4536947681356023,18,1,1,3.87022224564624,3.9298586449023483,160.96580769032911,-0.3976005082967209,34,0
05-01-2011 13:00,1,0,1,1,11.48,12.88,30,19.9995,6,65,71,7,0,3.8922659366342156,83.9908332016071,3.436884139062222,3.211073421068013,54,0,1,5.944815932601361,0.587321921366452,70.3404010154408,0.4299876606566604,69,1
05-01-2011 14:00,1,0,1,1,12.3,14.395,28,12.998,10,52,62,23,0,1.6547296513729943,23.63644207056953,9.149610642975325,1.616088945849297,25,1,1,8.97761390085451,1.7592725715653286,30.752862358382128,-0.8187937095503064,92,1
05-01-2011 15:00,1,0,1,1,12.3,14.395,28,12.998,7,55,62,10,0,1.167380805749029,31.82851531164682,2.9609575380691244,2.149188673693866,18,1,1,4.237128572095889,4.378022717248298,231.61248691467293,-0.09384593980544875,28,1
05-01-2011 16:00,1,0,1,1,12.3,15.91,28,6.0032,4,85,89,16,1,1.2590023292399222,70.24777844603521,10.4768059383548,2.1836837170859598,44,1,1,5.748666399084968,1.5529301330768226,183.81063283446375,-0.21390512968257802,98,0
05-01-2011 17:00,1,0,1,1,9.84,11.365,38,12.998,4,186,190,7,1,-2.037301640455306,73.8265923412267,11.838828649372955,3.495321389502445,18,0,0,9.108510885011782,3.3333330098058283,31.17679474434357,-0.3312965408957813,80,1
05-01-2011 18:00,1,0,1,1,9.84,12.12,38,8.9981,3,166,169,34,0,-0.8485549613171228,65.76316021143738,2.4334660323551205,4.15400198278568,57,1,0,8.41061610818227,2.656717534755664,296.65066890730424,0.2465924291031223,25,0
05-01-2011 19:00,1,0,1,1,9.84,12.88,38,7.0015,5,127,132,34,1,2.992900059042146,99.66946375261612,1.510303961231163,4.9851544431573345,55,1,0,1.853471175458976,2.4306020214026747,25.117901173588063,-0.6617165145487467,36,1
05-01-2011 20:00,1,0,1,1,9.02,11.365,47,11.0014,7,82,89,32,0,-1.936189630637104,86.8683211985112,3.3346722223172587,1.383588935518322,36,0,1,3.617426168293667,3.587923418051934,206.1829366972227,0.8839812055058043,42,1
